date,project,users
2019-08-08T00:00:00+00:00,0x Native,817
2019-08-09T00:00:00+00:00,0x Native,850
2019-08-10T00:00:00+00:00,0x Native,878
2019-08-11T00:00:00+00:00,0x Native,899
2019-08-12T00:00:00+00:00,0x Native,923
2019-08-13T00:00:00+00:00,0x Native,954
2019-08-14T00:00:00+00:00,0x Native,999
2019-08-15T00:00:00+00:00,0x Native,1029
2019-08-16T00:00:00+00:00,0x Native,1054
2019-08-17T00:00:00+00:00,0x Native,1082
2019-08-18T00:00:00+00:00,0x Native,1121
2019-08-19T00:00:00+00:00,0x Native,1216
2019-08-20T00:00:00+00:00,0x Native,1301
2019-08-21T00:00:00+00:00,0x Native,1394
2019-08-22T00:00:00+00:00,0x Native,1469
2019-08-23T00:00:00+00:00,0x Native,1512
2019-08-24T00:00:00+00:00,0x Native,1573
2019-08-25T00:00:00+00:00,0x Native,1606
2019-08-26T00:00:00+00:00,0x Native,1645
2019-08-27T00:00:00+00:00,0x Native,1769
2019-08-28T00:00:00+00:00,0x Native,1852
2019-08-29T00:00:00+00:00,0x Native,1916
2019-08-30T00:00:00+00:00,0x Native,1973
2019-08-31T00:00:00+00:00,0x Native,2013
2019-09-01T00:00:00+00:00,0x Native,2048
2019-09-02T00:00:00+00:00,0x Native,2105
2019-09-03T00:00:00+00:00,0x Native,2143
2019-09-04T00:00:00+00:00,0x Native,2194
2019-09-05T00:00:00+00:00,0x Native,2246
2019-09-06T00:00:00+00:00,0x Native,2296
2019-09-07T00:00:00+00:00,0x Native,2318
2019-09-08T00:00:00+00:00,0x Native,2340
