day,project,locked_usd_value
2021-03-08T00:00:00+00:00,Aave,5255766887.622558
2021-05-10T00:00:00+00:00,Aave,14296111107.30218
2021-04-25T00:00:00+00:00,Compound,13288570931.40669
2021-08-12T00:00:00+00:00,MakerDAO,7066490077.558542
2021-04-26T00:00:00+00:00,MakerDAO,8703255047.869963
2021-07-13T00:00:00+00:00,MakerDAO,5028683867.450007
2021-05-10T00:00:00+00:00,Compound,17474000968.84378
2021-06-19T00:00:00+00:00,Compound,10289411007.300713
2021-05-24T00:00:00+00:00,MakerDAO,7246905568.583853
2021-05-23T00:00:00+00:00,Aave,9520898292.111242
2021-05-29T00:00:00+00:00,Compound,10027850038.06499
2021-05-27T00:00:00+00:00,MakerDAO,8169412742.215408
2021-03-06T00:00:00+00:00,MakerDAO,6006381131.751619
2021-03-12T00:00:00+00:00,MakerDAO,6802832957.358358
2021-06-22T00:00:00+00:00,MakerDAO,4745723061.434701
2021-06-01T00:00:00+00:00,Compound,11076437871.149666
2021-08-10T00:00:00+00:00,Aave,18704949354.717247
2021-04-11T00:00:00+00:00,MakerDAO,7536229553.376334
2021-04-07T00:00:00+00:00,Aave,6150508771.602853
2021-02-27T00:00:00+00:00,Compound,8544822201.468115
2021-08-02T00:00:00+00:00,Aave,16599788608.307583
2021-03-28T00:00:00+00:00,Compound,10550208370.90813
2021-06-17T00:00:00+00:00,Aave,13290799801.43128
2021-03-01T00:00:00+00:00,Aave,4561147435.100467
2021-04-04T00:00:00+00:00,Compound,13555148600.383429
2021-06-10T00:00:00+00:00,MakerDAO,6733551009.240369
2021-08-02T00:00:00+00:00,MakerDAO,6058826512.987196
2021-06-23T00:00:00+00:00,Aave,12410351775.573692
2021-06-29T00:00:00+00:00,MakerDAO,5433328345.806949
2021-03-12T00:00:00+00:00,Aave,5182113090.172161
2021-03-11T00:00:00+00:00,Compound,10319733685.819447
2021-07-22T00:00:00+00:00,MakerDAO,4943484446.394825
2021-05-28T00:00:00+00:00,Compound,11406228293.636599
2021-07-09T00:00:00+00:00,Aave,12329921697.030622
2021-06-04T00:00:00+00:00,Compound,11502232971.268665
2021-08-04T00:00:00+00:00,Compound,14303998617.709373
2021-03-29T00:00:00+00:00,Aave,5919699379.345928
2021-07-08T00:00:00+00:00,MakerDAO,5519982256.210602
2021-03-30T00:00:00+00:00,Aave,5992100919.625567
2021-03-16T00:00:00+00:00,Compound,11499361559.445671
2021-05-21T00:00:00+00:00,Aave,11985701336.117836
2021-04-20T00:00:00+00:00,Compound,12477537281.377928
2021-04-30T00:00:00+00:00,Aave,11531741051.748276
2021-04-05T00:00:00+00:00,MakerDAO,7447646732.340188
2021-07-14T00:00:00+00:00,Aave,12290364038.554663
2021-02-23T00:00:00+00:00,Compound,8674713015.40051
2021-07-03T00:00:00+00:00,MakerDAO,5439898714.849699
2021-05-28T00:00:00+00:00,Aave,11328881478.801672
2021-06-09T00:00:00+00:00,Aave,13280986740.061352
